2013-08-27 16:32:23,149 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.listByProjectInfo (Slf4jImpl.java@47)
2013-08-27 16:32:23,153 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | ==>  Preparing: /* jp.co.ctc_g.pjnavi.batch.pj.npjbas040.Jpjprg04000JobDaoImpl.listByProjectInfo */ select T.SI_DEAL_CD, T.PRJ_CD, T.PRJ_STATS_RECV_DT, T.PRJ_STATS_SEG, T.THIS_RPT_BSDT, T.PREV_RPT_BSDT from ( select PRJ.SI_DEAL_CD, PRJ.PRJ_CD, PRJ.PRJ_STATS_RECV_DT , PRJ.PRJ_STATS_SEG, case when to_number(PRJ.PRJ_RPT_BS_YOUBI) <= ? then trunc(? + (to_number(PRJ.PRJ_RPT_BS_YOUBI) - ?)) else trunc(? - (7 - (to_number(PRJ.PRJ_RPT_BS_YOUBI) - ?))) end THIS_RPT_BSDT, nvl(RPT_BSDT_MNG_OUT.THIS_RPT_BSDT,trunc(PRJ.PRJ_STR_DT) - 1) PREV_RPT_BSDT from PJTR_PJ_PRJ PRJ, PJTR_PJ_RPT_BSDT_MNG RPT_BSDT_MNG_OUT where PRJ.PRJ_CD = RPT_BSDT_MNG_OUT.PRJ_CD(+) and PRJ.PRJ_STATS_SEG in ('030', '040','050', '060') and RPT_BSDT_MNG_OUT.DEL_FLG(+) = '0' and PRJ.PRJ_PROG_ENT_CLOSE_YOUBI = ? and PRJ.DEL_FLG = '0' order by PRJ.PRJ_CD )T where T.PRJ_STATS_SEG IN ('030', '040') or (T.PRJ_STATS_SEG in ('050', '060') and T.PRJ_STATS_RECV_DT > T.PREV_RPT_BSDT)  | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.listByProjectInfo (Slf4jImpl.java@47)
2013-08-27 16:32:23,154 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | ==> Parameters: 5(String), 2013-04-05 00:00:00.0(Timestamp), 5(String), 2013-04-05 00:00:00.0(Timestamp), 5(String), 5(String) | jp.co.ctc_g.pjnavi.batch.pj.npjprg040.Jpjprg04000JobDaoImpl.listByProjectInfo (Slf4jImpl.java@47)
2013-08-27 16:32:23,203  INFO NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:mergeOneNotNullを実行しました。実行時に指定されたパラメータ：PjtrPjRptBsdtMngEntity[prjCd=PJ12000071,prevRptBsdt=Mon Dec 31 00:00:00 JST 2012,thisRptBsdt=Mon Apr 01 00:00:00 JST 2013,siDealCd=SI12000042,thisEntCloseDt=Fri Apr 05 00:00:00 JST 2013,maxSize=1000,waitSeconds=300,orderByFields=<null>,onlineUpdateLock=true,logical=true,includeNull=true,skip=true,offset=0,tail=1001,businessDate=<null>,delFlg=<null>,regUsrId=9999999999,regPgmId=jpjprg04000,regTs=2013-08-27 16:32:23.112,updUsrId=9999999999,updPgmId=jpjprg04000,updTs=2013-08-27 16:32:23.112,verNo=<null>] | jp.co.ctc_g.pjnavi.fw.logger.DaoParamLoggingInterceptor (DaoParamLoggingInterceptor.java@36)
2013-08-27 16:32:23,225 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjRptBsdtMngEntityJobDaoImpl.selectOneForWait (Slf4jImpl.java@47)
2013-08-27 16:32:23,226 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==>  Preparing: /* jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjRptBsdtMngEntityJobDaoImpl.selectOneForWait */ select PRJ_CD, PREV_RPT_BSDT, THIS_RPT_BSDT, SI_DEAL_CD, THIS_ENT_CLOSE_DT, DEL_FLG, REG_USR_ID, REG_PGM_ID, REG_TS, UPD_USR_ID, UPD_PGM_ID, UPD_TS, VER_NO from PJTR_PJ_RPT_BSDT_MNG WHERE PRJ_CD = ? order by PRJ_CD for update wait 300  | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjRptBsdtMngEntityJobDaoImpl.selectOneForWait (Slf4jImpl.java@47)
2013-08-27 16:32:23,227 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==> Parameters: PJ12000071(String) | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjRptBsdtMngEntityJobDaoImpl.selectOneForWait (Slf4jImpl.java@47)
2013-08-27 16:32:23,237 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:ooo Using Connection [jdbc:oracle:thin:@10.250.24.20:1552/tpjdb, UserName=PJ_TEST02, Oracle JDBC driver] | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjRptBsdtMngEntityJobDaoImpl.mergeOne (Slf4jImpl.java@47)
2013-08-27 16:32:23,242 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==>  Preparing: /* jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjRptBsdtMngEntityJobDaoImpl.mergeOne */ merge into PJTR_PJ_RPT_BSDT_MNG using (select ? as PRJ_CD from dual ) DUMMY on ( PJTR_PJ_RPT_BSDT_MNG.PRJ_CD = DUMMY.PRJ_CD ) when matched then update set PREV_RPT_BSDT = ? , THIS_RPT_BSDT = ? , SI_DEAL_CD = ? , THIS_ENT_CLOSE_DT = ? , VER_NO = VER_NO + 1, UPD_TS = ?, UPD_USR_ID = ?, UPD_PGM_ID = ? when not matched then insert ( PRJ_CD, PREV_RPT_BSDT, THIS_RPT_BSDT, SI_DEAL_CD, THIS_ENT_CLOSE_DT, DEL_FLG, REG_TS, REG_USR_ID, REG_PGM_ID, UPD_TS, UPD_USR_ID, UPD_PGM_ID, VER_NO ) values ( ? , ? , ? , ? , ? , '0', ?, ?, ?, ?, ?, ?, 1 )  | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjRptBsdtMngEntityJobDaoImpl.mergeOne (Slf4jImpl.java@47)
2013-08-27 16:32:23,243 DEBUG NPJPRG040 JPJPRG04000 exec:35572079 | 16件目...:==> Parameters: PJ12000071(String), 2012-12-31 00:00:00.0(Timestamp), 2013-04-01 00:00:00.0(Timestamp), SI12000042(String), 2013-04-05 00:00:00.0(Timestamp), 2013-08-27 16:32:23.112(Timestamp), 9999999999(Long), jpjprg04000(String), PJ12000071(String), 2012-12-31 00:00:00.0(Timestamp), 2013-04-01 00:00:00.0(Timestamp), SI12000042(String), 2013-04-05 00:00:00.0(Timestamp), 2013-08-27 16:32:23.112(Timestamp), 9999999999(Long), jpjprg04000(String), 2013-08-27 16:32:23.112(Timestamp), 9999999999(Long), jpjprg04000(String) | jp.co.ctc_g.pjnavi.cm.integration.mybatis.PjtrPjRptBsdtMngEntityJobDaoImpl.mergeOne (Slf4jImpl.java@47)
